"FILENAME","FILEPATHINMUREX","DESTINATIONFILEPATH","OWNEROFREPORT","STREAMOWNER","PROCESSINGSCRIPT","PROCESSINGSCRIPT_DESC","PROCESSINGUNIT","BATCHNAME","BATCHTYPE","BATCHNAME_DESC","GLOBALFILTER","SINGLE_EXTFEED_NAME","SINGLE_EXTFEED_DESC","SINGLE_EXTREQ_NAME","SINGLE_EXTREQ_DESC","EXTRACTIONTYPE","EXTRACTIONVIEW","TABLENAME","LABELMODE","SCANNERTEMPLATE","LABELOFDATA","LABELOFDATA_VALUE","COMMANDBEFORE","COMMANDAFTER","EXTRACTION_PARAMETERS"
"","","","","","","","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","","","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","ERM_RTLIM_RESET","All steps involved in running a reset on the real time limits engine","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","ERM_RTLIM_RC_PS","RTLIM Risk Computation","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","ERM_COL_RC_PS","COLLATERAL Risk Computation","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","TEST","","REP_BATCHES_FEED    ","ERM_MV_BF","batchOfFeeders","Batch of feeders for ERM_MV_F","MLC_EOD_F","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD             ","lastSnapshot","","",""
"","","","","","ERM_EOD_RC_PS","EOD Risk Computation as of Yesterday (closing of business)","REP_BATCHES_FEED    ","ERM_MV-1_BF","batchOfFeeders","Batch of feeders for ERM_MV_F minus 1","MLC_EOD_F-1","ERM_MV_F","Data feeder for ERM_MV_DBF table","","","                    ","","Table:ERM_MV.REP;Table:ERM_SEC_INF.REP;Table:ERM_TRN_UDF.REP","One data set","","MLC_EOD-1           ","lastSnapshot","","",""
"","","","","","","","","ERM_MKT_BF","batchOfFeeders","Batch of feeder for MLC Market risk","","ERM_FXGR_F","Data feeder for ERM_FXGR_REP table","","","                    ","","Table:ERM_FXGR.REP","One data set","","ERM_EOD             ","lastSnapshot","","",""
"","","","","","","","","ERM_MKT_BF","batchOfFeeders","Batch of feeder for MLC Market risk","","ERM_IRGR_F","Data feeder for ERM_IRGR_REP table","","","                    ","","Table:ERM_IRGR.REP","One data set","","ERM_EOD             ","lastSnapshot","","",""
"","","","","","","","","ERM_MKT_BF","batchOfFeeders","Batch of feeder for MLC Market risk","","ERM_OP_F","Data feeder for ERM_OP_REP table","","","                    ","","Table:ERM_OP.REP","One data set","","ERM_EOD             ","lastSnapshot","","",""
"","","","","","","","","ERM_MKT_BF","batchOfFeeders","Batch of feeder for MLC Market risk","","ERM_SL_F","Data feeder for ERM_SL_REP table","","","                    ","","Table:ERM_SL.REP","One data set","","ERM_EOD             ","lastSnapshot","","",""
"","","","","","","","","ERM_MKT_View","batchOfDatamartExtractions","","","OP09-ERMReset-Mkt","Extract MKT Information for MLC reset","ERM_MKT","","VIEWER              ","","Table:ERM_FXGR.REP;Table:ERM_IRGR.REP;Table:ERM_OP.REP;Table:ERM_SL.REP","One data set","","ERM_EOD             ","lastSnapshot","","",""
"ERM_MKT.REP","","","","","","","","ERM_MKT_BE","batchOfDatamartExtractions","Extract Consolidated MKT Info for MLC reset","","OP09-ERMReset-Mkt","Extract MKT Information for MLC reset","ERM_MKT","","TABLE               ","","Table:ERM_FXGR.REP;Table:ERM_IRGR.REP;Table:ERM_OP.REP;Table:ERM_SL.REP","One data set","","ERM_EOD             ","Contextual Today","","",""
"","","","","","ERM_MKT_EOD","Market Risk - EOD for VaR, Stress-Testing and Back-Testing","REP_BATCHES_FEED    ","MX_BT_CLEAN_BF","batchOfFeeders","This batch of feeders feeds the table PLVAR_BT_CLEAN_REP","MX_BT","MX_PLVAR_BT_CLEAN_FEED","This feeder feeds the table PLVAR_BT_CLEAN_REP","","","                    ","","Table:PLVAR_BT_CLEAN.REP","One data set per day","","MXSTD               ","lastSnapshot","","",""
"","","","","","ERM_MKT_EOD","Market Risk - EOD for VaR, Stress-Testing and Back-Testing","REP_BATCHES_FEED    ","MX_BT_DIRTY_BF","batchOfFeeders","This batch of feeders feeds the table PLVAR_BT_DIRTY_REP","MX_BT","MX_PLVAR_BT_DIRTY_FEED","This feeder feeds the table PLVAR_BT_DIRTY_REP","","","                    ","","Table:PLVAR_BT_DIRTY.REP","One data set per day","","MXSTD               ","lastSnapshot","","",""
"","","","","","","","","BF_MRA_DV01","batchOfFeeders","","","F_MRA_DV01","","","","                    ","","Table:MRA_DV01.REP","One data set per day","","MRA_DV01            ","lastSnapshot","","",""
"","","","","","","","","BF_MRA_FXGREEKS","batchOfFeeders","","","F_MRA_FXGREEKS","","","","                    ","","Table:MRA_FXGREEKS.REP","One data set per day","","MRA_FXGREEKS        ","lastSnapshot","","",""
"","","","","","","","","BF_MRA_OP","batchOfFeeders","","","F_MRA_OP","","","","                    ","","Table:MRA_OP.REP","One data set per day","","BF_MRA_OP           ","lastSnapshot","","",""
"","","","","","","","","BF_MRA_STOPLOSS","batchOfFeeders","","","F_MRA_STOPLOSS","","","","                    ","","Table:MRA_STOPLOSS.REP","One data set per day","","MRA_STOPLOSS        ","lastSnapshot","","",""
"","","","","","REF_DET_PL_FEED","REF_DET_PL_FEED_ES1","REP_BATCHES_FEED    ","MX_PLAC_BK_D_BF","batchOfFeeders","Batch of feeders for PLAC_BKD_CNV_D_REP feed","PLAC_BKD_D_TODAY","MX_PLAC_BKD_CNV_D_FEED","Data feeder for PLAC_BKD_CNV_D_REP table","","","                    ","","Table:PLAC_BKD_CNV_D.REP","One data set per day","8EngineBatch1000                ","MXPRESS             ","lastSnapshot","","",""
"","","","","","REF_DET_PL_FEED_TEST","","REP_BATCHES_FEED    ","MX_PLAC_BK_D_BF","batchOfFeeders","Batch of feeders for PLAC_BKD_CNV_D_REP feed","PLAC_BKD_D_TODAY","MX_PLAC_BKD_CNV_D_FEED","Data feeder for PLAC_BKD_CNV_D_REP table","","","                    ","","Table:PLAC_BKD_CNV_D.REP","One data set per day","8EngineBatch1000                ","MXPRESS             ","lastSnapshot","","",""
"","","","","","REF_DET_PL_FEED_PLAC","","REP_BATCHES_FEED    ","MX_PLAC_BK_D_BF","batchOfFeeders","Batch of feeders for PLAC_BKD_CNV_D_REP feed","PLAC_BKD_D_TODAY","MX_PLAC_BKD_CNV_D_FEED","Data feeder for PLAC_BKD_CNV_D_REP table","","","                    ","","Table:PLAC_BKD_CNV_D.REP","One data set per day","8EngineBatch1000                ","MXPRESS             ","lastSnapshot","","",""
"","","","","","REF_DET_PL_FED_ES1_T","","REP_BATCHES_FEED    ","MX_PLAC_BK_D_BF","batchOfFeeders","Batch of feeders for PLAC_BKD_CNV_D_REP feed","PLAC_BKD_D_TODAY","MX_PLAC_BKD_CNV_D_FEED","Data feeder for PLAC_BKD_CNV_D_REP table","","","                    ","","Table:PLAC_BKD_CNV_D.REP","One data set per day","8EngineBatch1000                ","MXPRESS             ","lastSnapshot","","",""
"","","","","","REF_RERUN","MX_PLAC_BK_D_BF","REP_BATCHES_FEED    ","MX_PLAC_BK_D_BF","batchOfFeeders","Batch of feeders for PLAC_BKD_CNV_D_REP feed","PLAC_BKD_D_TODAY","MX_PLAC_BKD_CNV_D_FEED","Data feeder for PLAC_BKD_CNV_D_REP table","","","                    ","","Table:PLAC_BKD_CNV_D.REP","One data set per day","8EngineBatch1000                ","MXPRESS             ","lastSnapshot","","",""
"","","","","","REF_DET_PL_FEED_ES1","Reference PL datamart table feeder (ES1)","REP_BATCHES_FEED    ","MX_PLAC_BK_D_BF","batchOfFeeders","Batch of feeders for PLAC_BKD_CNV_D_REP feed","PLAC_BKD_D_TODAY","MX_PLAC_BKD_CNV_D_FEED","Data feeder for PLAC_BKD_CNV_D_REP table","","","                    ","","Table:PLAC_BKD_CNV_D.REP","One data set per day","8EngineBatch1000                ","MXPRESS             ","lastSnapshot","","",""
"","","","","","MX_PERF_LOAD","Loads new data for internal and external performance and assignments, old data purged","REP_BATCHES_FEED    ","MX_PERF_PLV_BF","batchOfFeeders","Batch of feeder for MX_PERF_PLV_FEED","MX_PERF_PLV_GF","MX_PERF_PLV_FEED","Feeds the table MX_PERF_REP","","","                    ","","Table:MX_PERF.REP","One data set per day","","Performance         ","lastSnapshot","","",""
