"PROCESSING_SCRIPT","PROCESS_UNIT_NAME","PROCESS_UNIT_LABEL","M_PROCESSS_UNIT_DESC","PROCESSING_SCRIPTDESC","PERIOD","SIDE","DAY","SHIFTER"
"ACC_HEDGE_REVAL     ","                    ","ACGHDGREVAL         ","","Revaluation accounting entriesfor hedge",1,0,7,"               "
"ACC_MAN_EN_ACCEPT   ","                    ","ACCEOD-ACCEPT       ","","Accept Manual Accounting Entries",1,0,7,"               "
"ACC_MVDATE+1BD      ","                    ","ACGMOVEDATE         ","","Accounting Move Date + 1BD",1,0,7,"               "
"ACC_MVDATE+1BD-ES2  ","                    ","ACGMOVEDATE         ","","Accounting Move Date + 1BD for ES2",1,0,7,"               "
"ACC_MVDATE-1BD      ","                    ","ACGUNDO             ","","Accounting Move Date - 1BD",1,0,7,"               "
"ACC_POS             ","                    ","ACGPOS              ","","Script for the Accounting entries generation (Positions)",1,0,7,"               "
"ACC_POS_REVERT      ","                    ","ACGPOSREVERT        ","","Revert the Accounting on Positions entries generated",1,0,7,"               "
"ACC_REG_DLV         ","                    ","ACGDLVALL           ","","",1,0,7,"               "
"ACC_REG_TRN         ","                    ","ACGTRDINTRALL       ","","",1,0,7,"               "
"ACC_REVERT          ","                    ","ACGPOSREVERT        ","","",1,0,7,"               "
"ACC_REVERT          ","                    ","ACGREVERT           ","","",1,0,7,"               "
"ACC_REVERT          ","                    ","DLVREVERT           ","","",1,0,7,"               "
"AM_MC_SCN           ","VCV and MC          ","BATCH-PRINT         ","","Import VCV and declare Monte-Carlos scenarios",1,0,7,"               "
"AM_PLVAR_BT         ","Purge Clean BT table","REP_PURGE_RULE      ","","Run clean and dirty PLVAR using NAV output",1,0,7,"               "
"AM_PLVAR_BT         ","Purge Dirty BT table","REP_PURGE_RULE      ","","Run clean and dirty PLVAR using NAV output",1,0,7,"               "
"AM_PLVAR_BT         ","Run Dirty and Clean ","REP_BATCHES_FEED    ","","Run clean and dirty PLVAR using NAV output",1,0,7,"               "
"AM_VAR_BT_ARCHIVAL  ","                    ","REP_BATCHES_FEED    ","","Extract Clean and Dirty Backteting against VaR 99%",1,0,7,"               "
"AM_VAR_BT_ARCHIVAL  ","                    ","REP_PURGE_RULE      ","","Extract Clean and Dirty Backteting against VaR 99%",1,0,7,"               "
